Cohort years,group,Cohort count,"Salaries (-dw, attribution, and displacement) (£)","GVA (-dw, attribution, and displacement) (£)",Savings from reduced reoffending (£),Savings to DWP/Health (£),Volunteer value (mentor and non-mentor) (£),WELLBY (-dw and attribution) (£),Volunteers (-attribution) (£),Total savings (£)
2022/23,North East,1745,4802677.649999999,8882068.2,130220,393617,216021.09662741722,3960988.179005751,964559.3006412595,14547473.776274428
2022/23,North West,5278,17915963.4,34703796.6,343800,1240935,653386.4458449903,14339385.1684104,3343421.671357106,54624724.885612495
2022/23,Northern Ireland,1785,2745436.25,5356213.8,155260,315639,220972.86961601133,13171748.91250824,3466654.919319631,22686489.50144388
2022/23,Scotland,3039,12627022,24413756.099999998,205833,802451,376210.95280843606,11177732.298013538,2867764.3684737147,39843747.71929569
2022/23,South East,2204,10369834.25,19340671.349999998,166999,643698,272842.6916715344,6245597.8512393385,1763847.8435010016,28433656.736411873
2022/23,South West,2271,10750442.15,20179379.099999998,143336,653000,281136.9114274295,3031300.5158344284,1156895.304470621,25445047.831732478
2022/23,Wales,1688,5767504.149999999,10456564.85,136675,434447,208964.82011867064,7270045.747653714,1961366.554020376,20468063.97179276
2022/23,West Midlands,3577,15095031.85,26745376.65,225500,885586,442812.2995050266,6711074.030291617,1890536.2292568686,36900885.20905351
2022/23,Yorkshire and The Humber,2284,8036719.399999999,14858107.1,171636,504764,282746.2376487226,5145390.241517182,1521412.3416681837,22484055.920834087
2023/24,East Midlands,2518,10557264.35,18763957.4,132456,737143,391191.53486571787,6074660.598471485,1253007.9575527932,27352416.490889996
2023/24,East of England,1860,9218856.049999999,15632409.5,111066,543329,288965.94712082413,4120690.4943694165,1130792.792209643,21827253.733699884
2023/24,London,4050,22023202.5,41868544.35,235184,734252,629200.0461501817,8657967.3616428,2437043.0000109375,54562190.757803924
2023/24,North East,2047,5907724.399999999,10768227.549999999,115336,440364,318017.89986899303,4288203.886354243,1107801.8205114265,17037951.15673466
2023/24,North West,5352,20023980.4,38065506.65,321119,1298825,831476.2091347586,12353955.147741,2976120.783777011,55847002.79065277
2023/24,Northern Ireland,1699,2700753.4499999997,5189115.7,126690,310513,263953.3033109034,12474069.90722121,3400243.709052003,21764585.619584117
2023/24,Scotland,3279,12353025.35,23551658.9,191270,836862,509419.0003275174,11565458.431392616,3134032.4578094976,39788700.78952963
2023/24,South East,2452,12004724.25,21950210.45,139201,694080,380937.9044840112,4662488.085125041,1538580.027067481,29365497.466676533
2023/24,South West,2553,12466798.7,22947760.25,128190,713731,396629.06612874416,4101532.9413754386,1502883.518378145,29790726.775882326
