Cohort years,group,Cohort count,"Salaries (-dw, attribution, and displacement) (£)","GVA (-dw, attribution, and displacement) (£)",Savings from reduced reoffending (£),Savings to DWP/Health (£),Volunteer value (mentor and non-mentor) (£),WELLBY (-dw and attribution) (£),Volunteers (-attribution) (£),Total savings (£)
2020/21,proposition_Get A Job,9953,39872298.1,73313078.85,956501,4508182,949521.9155721181,13462301.323544594,3121930.7807027837,96311515.86981949
2020/21,NA,22785,90656111.64999999,165919653.2,2520106,9466536,2173702.084427882,44956830.401670314,13515025.131845817,238551852.817944
2021/22,proposition_Get A Job,11050,42051511.1,78559237.2,856186,4929156,1115977.7846850292,20439641.495191358,4315369.778168248,110215568.25804465
2021/22,NA,20318,86122603.5,159908425.15,1930709,9339792,2051985.2153149706,59970864.965280116,16119460.567280676,249321236.89787576
2022/23,proposition_Get A Job,10933,41048936.949999996,76947194.35,804659,4963546,1353484.9632294164,18210460.82234377,4146741.20830908,106426086.34388226
2022/23,NA,21593,90058547.2,167685378.6,1629402,10220121,2673173.0367705836,74614729.16768794,19922324.516408965,276745128.3208675
2023/24,proposition_Get A Job,10526,40499347.35,74679787.05,764299,4967737,1635396.0734278227,16620156.33243502,4019789.893761834,102687165.34962468
2023/24,NA,23058,96025401,176109611.29999998,1363430,11220509,3582458.926572177,72416140.0862545,20513997.010519084,285206146.3233457
2024/25,proposition_Get A Job,8629,33585233.15,54000853.6,569858,4217250,1527750.1557460562,11719306.382041175,3138865.856337297,75173883.99412453
2024/25,NA,19834,80635342.64999999,128705582.2,1043179,9684238,3511576.844253944,67503911.82358137,20530751.761692457,230979239.62952778
2025/26,proposition_Get A Job,3816,18698399.45,28347112.4,309056,2355685,480901.9540122008,NA,NA,31492755.3540122
2025/26,NA,8970,46651991.6,70819321.64999999,566684,5647600,1130422.045987799,NA,NA,78164027.69598779
2026/27,proposition_Get A Job,1275,8501779.9,11597041.299999999,127494,1075265,NA,NA,NA,12799800.299999999
2026/27,NA,3017,21101988.65,28880688,234271,2575937,NA,NA,NA,31690896
2027/28,proposition_Get A Job,235,2270595.65,2258956.6,27045,294680,NA,NA,NA,2580681.6
2027/28,NA,554,5466356.8,5339823.25,60456,679469,NA,NA,NA,6079748.25
2014/15,proposition_Enterprise,14460,112464033.8,204808571,1554362,10796641,192416.1120218579,10664242.956627194,4259538.197356905,232275771.26600596
2014/15,NA,29460,69501616.8,125829395.55,3427860,7640388,392017.88797814207,54434117.26804513,12640771.971771227,204364550.6777945
2015/16,proposition_Enterprise,14269,111157993.5,202422460.35,1527414,10790861,219813.96121845872,10399719.273976455,4242690.618463441,229602959.20365834
2015/16,NA,29721,69217276.5,125274811.35,3450998,7677026,457852.0387815412,58468553.16075315,13927362.474359728,209256603.02389443
2016/17,proposition_Enterprise,13730,106441835.64999999,193839049.85,1476941,10478847,737297.153886447,9450372.487142546,4078849.820303989,220061357.31133297
2016/17,NA,30179,68517864.2,123988284.5,3481243,7696426,1620603.846113553,64285492.624859124,15591127.411816044,216663177.38278872
2017/18,proposition_Enterprise,12207,95184539.35,173332131.75,1332650,9525477,682412.2733603528,7306320.548449056,3245015.065090661,195424006.63690007
2017/18,NA,32452,69790481.64999999,126338564.25,3602867,7892942,1814175.726639647,74557156.35849701,18172084.364507694,232377789.69964436
2018/19,proposition_Enterprise,11354,86731227.3,157905034.65,1239064,8842011,660994.5315177478,7217657.041553153,3292446.0738560893,179157207.296927
